time,age,avgAge
0,0,61.3401
0.1,0.1,61.3401
0.2,0.2,61.3401
0.3,0.3,61.3401
0.4,0.4,61.3401
0.5,0.5,61.3401
0.6,0.6,61.3401
0.7,0.7,61.3401
0.8,0.8,61.3401
0.9,0.9,61.3401
1,1,61.3401
1.1,1.1,61.3401
1.2,1.2,61.3401
1.3,1.3,61.3401
1.4,1.4,61.3401
1.5,1.5,61.3401
1.6,1.6,61.3401
1.7,1.7,61.3401
1.8,1.8,61.3401
1.9,1.9,61.3401
2,2,61.3401
2.1,2.1,61.3401
2.2,2.2,61.3401
2.3,2.3,61.3401
2.4,2.4,61.3401
2.5,2.5,61.3401
2.6,2.6,61.3401
2.7,2.7,61.3401
2.8,2.8,61.3401
2.9,2.9,61.3401
3,3,61.3401
3.1,3.1,61.3401
3.2,3.2,61.3401
3.3,3.3,61.3401
3.4,3.4,61.3401
3.5,3.5,61.3401
3.6,3.6,61.3401
3.7,3.7,61.3401
3.8,3.8,61.3401
3.9,3.9,61.3401
4,4,61.3401
4.1,4.1,61.3401
4.2,4.2,61.3401
4.3,4.3,61.3401
4.4,4.4,61.3401
4.5,4.5,61.3401
4.6,4.6,61.3401
4.7,4.7,61.3401
4.8,4.8,61.3401
4.9,4.9,61.3401
5,5,61.3401
5.1,5.1,61.3401
5.2,5.2,61.3401
5.3,5.3,61.3401
5.4,5.4,61.3401
5.5,5.5,61.3401
5.6,5.6,61.3401
5.7,5.7,61.3401
5.8,5.8,61.3401
5.9,5.9,61.3401
6,6,61.3401
6.1,6.1,61.3401
6.2,6.2,61.3401
6.3,6.3,61.3401
6.4,6.4,61.3401
6.5,6.5,61.3401
6.6,6.6,61.3401
6.7,6.7,61.3401
6.8,6.8,61.3401
6.9,6.9,61.3401
7,7,61.3401
7.1,7.1,61.3401
7.2,7.2,61.3401
7.3,7.3,61.3401
7.4,7.4,61.3401
7.5,7.5,61.3401
7.6,7.6,61.3401
7.7,7.7,61.3401
7.8,7.8,61.3401
7.9,7.9,61.3401
8,8,61.3401
8.1,8.1,61.3401
8.2,8.2,61.3401
8.3,8.3,61.3401
8.4,8.4,61.3401
8.5,8.5,61.3401
8.6,8.6,61.3401
8.7,8.7,61.3401
8.8,8.8,61.3401
8.9,8.9,61.3401
9,9,61.3401
9.1,9.1,61.3401
9.2,9.2,61.3401
9.3,9.3,61.3401
9.4,9.4,61.3401
9.5,9.5,61.3401
9.6,9.6,61.3401
9.7,9.7,61.3401
9.8,9.8,61.3401
9.9,9.9,61.3401
10,10,61.3401
10.1,10.1,61.3401
10.2,10.2,61.3401
10.3,10.3,61.3401
10.4,10.4,61.3401
10.5,10.5,61.3401
10.6,10.6,61.3401
10.7,10.7,61.3401
10.8,10.8,61.3401
10.9,10.9,61.3401
11,11,61.3401
11.1,11.1,61.3401
11.2,11.2,61.3401
11.3,11.3,61.3401
11.4,11.4,61.3401
11.5,11.5,61.3401
11.6,11.6,61.3401
11.7,11.7,61.3401
11.8,11.8,61.3401
11.9,11.9,61.3401
12,12,61.3401
12.1,12.1,61.3401
12.2,12.2,61.3401
12.3,12.3,61.3401
12.4,12.4,61.3401
12.5,12.5,61.3401
12.6,12.6,61.3401
12.7,12.7,61.3401
12.8,12.8,61.3401
12.9,12.9,61.3401
13,13,61.3401
13.1,13.1,61.3401
13.2,13.2,61.3401
13.3,13.3,61.3401
13.4,13.4,61.3401
13.5,13.5,61.3401
13.6,13.6,61.3401
13.7,13.7,61.3401
13.8,13.8,61.3401
13.9,13.9,61.3401
14,14,61.3401
14.1,14.1,61.3401
14.2,14.2,61.3401
14.3,14.3,61.3401
14.4,14.4,61.3401
14.5,14.5,61.3401
14.6,14.6,61.3401
14.7,14.7,61.3401
14.8,14.8,61.3401
14.9,14.9,61.3401
15,15,61.3401
15.1,15.1,61.3401
15.2,15.2,61.3401
15.3,15.3,61.3401
15.4,15.4,61.3401
15.5,15.5,61.3401
15.6,15.6,61.3401
15.7,15.7,61.3401
15.8,15.8,61.3401
15.9,15.9,61.3401
16,16,61.3401
16.1,16.1,61.3401
16.2,16.2,61.3401
16.3,16.3,61.3401
16.4,16.4,61.3401
16.5,16.5,61.3401
16.6,16.6,61.3401
16.7,16.7,61.3401
16.8,16.8,61.3401
16.9,16.9,61.3401
17,17,61.3401
17.1,17.1,61.3401
17.2,17.2,61.3401
17.3,17.3,61.3401
17.4,17.4,61.3401
17.5,17.5,61.3401
