time,age,avgAge
0,0,63.2504
0.1,0.1,63.2504
0.2,0.2,63.2504
0.3,0.3,63.2504
0.4,0.4,63.2504
0.5,0.5,63.2504
0.6,0.6,63.2504
0.7,0.7,63.2504
0.8,0.8,63.2504
0.9,0.9,63.2504
1,1,63.2504
1.1,1.1,63.2504
1.2,1.2,63.2504
1.3,1.3,63.2504
1.4,1.4,63.2504
1.5,1.5,63.2504
1.6,1.6,63.2504
1.7,1.7,63.2504
1.8,1.8,63.2504
1.9,1.9,63.2504
2,2,63.2504
2.1,2.1,63.2504
2.2,2.2,63.2504
2.3,2.3,63.2504
2.4,2.4,63.2504
2.5,2.5,63.2504
2.6,2.6,63.2504
2.7,2.7,63.2504
2.8,2.8,63.2504
2.9,2.9,63.2504
3,3,63.2504
3.1,3.1,63.2504
3.2,3.2,63.2504
3.3,3.3,63.2504
3.4,3.4,63.2504
3.5,3.5,63.2504
3.6,3.6,63.2504
3.7,3.7,63.2504
3.8,3.8,63.2504
3.9,3.9,63.2504
4,4,63.2504
4.1,4.1,63.2504
4.2,4.2,63.2504
4.3,4.3,63.2504
4.4,4.4,63.2504
4.5,4.5,63.2504
4.6,4.6,63.2504
4.7,4.7,63.2504
4.8,4.8,63.2504
4.9,4.9,63.2504
5,5,63.2504
5.1,5.1,63.2504
5.2,5.2,63.2504
5.3,5.3,63.2504
5.4,5.4,63.2504
5.5,5.5,63.2504
5.6,5.6,63.2504
5.7,5.7,63.2504
5.8,5.8,63.2504
5.9,5.9,63.2504
6,6,63.2504
6.1,6.1,63.2504
6.2,6.2,63.2504
6.3,6.3,63.2504
6.4,6.4,63.2504
6.5,6.5,63.2504
6.6,6.6,63.2504
6.7,6.7,63.2504
6.8,6.8,63.2504
6.9,6.9,63.2504
7,7,63.2504
7.1,7.1,63.2504
7.2,7.2,63.2504
7.3,7.3,63.2504
7.4,7.4,63.2504
7.5,7.5,63.2504
7.6,7.6,63.2504
7.7,7.7,63.2504
7.8,7.8,63.2504
7.9,7.9,63.2504
8,8,63.2504
8.1,8.1,63.2504
8.2,8.2,63.2504
8.3,8.3,63.2504
8.4,8.4,63.2504
8.5,8.5,63.2504
8.6,8.6,63.2504
8.7,8.7,63.2504
8.8,8.8,63.2504
8.9,8.9,63.2504
9,9,63.2504
9.1,9.1,63.2504
9.2,9.2,63.2504
9.3,9.3,63.2504
9.4,9.4,63.2504
9.5,9.5,63.2504
9.6,9.6,63.2504
9.7,9.7,63.2504
9.8,9.8,63.2504
9.9,9.9,63.2504
10,10,63.2504
10.1,10.1,63.2504
10.2,10.2,63.2504
10.3,10.3,63.2504
10.4,10.4,63.2504
10.5,10.5,63.2504
10.6,10.6,63.2504
10.7,10.7,63.2504
10.8,10.8,63.2504
10.9,10.9,63.2504
11,11,63.2504
11.1,11.1,63.2504
11.2,11.2,63.2504
11.3,11.3,63.2504
11.4,11.4,63.2504
11.5,11.5,63.2504
11.6,11.6,63.2504
11.7,11.7,63.2504
11.8,11.8,63.2504
11.9,11.9,63.2504
12,12,63.2504
12.1,12.1,63.2504
12.2,12.2,63.2504
12.3,12.3,63.2504
12.4,12.4,63.2504
12.5,12.5,63.2504
12.6,12.6,63.2504
12.7,12.7,63.2504
12.8,12.8,63.2504
12.9,12.9,63.2504
13,13,63.2504
13.1,13.1,63.2504
13.2,13.2,63.2504
13.3,13.3,63.2504
13.4,13.4,63.2504
13.5,13.5,63.2504
13.6,13.6,63.2504
13.7,13.7,63.2504
13.8,13.8,63.2504
13.9,13.9,63.2504
14,14,63.2504
14.1,14.1,63.2504
14.2,14.2,63.2504
14.3,14.3,63.2504
14.4,14.4,63.2504
14.5,14.5,63.2504
14.6,14.6,63.2504
14.7,14.7,63.2504
14.8,14.8,63.2504
14.9,14.9,63.2504
15,15,63.2504
15.1,15.1,63.2504
15.2,15.2,63.2504
15.3,15.3,63.2504
15.4,15.4,63.2504
15.5,15.5,63.2504
15.6,15.6,63.2504
15.7,15.7,63.2504
15.8,15.8,63.2504
15.9,15.9,63.2504
16,16,63.2504
16.1,16.1,63.2504
16.2,16.2,63.2504
16.3,16.3,63.2504
16.4,16.4,63.2504
16.5,16.5,63.2504
16.6,16.6,63.2504
16.7,16.7,63.2504
16.8,16.8,63.2504
16.9,16.9,63.2504
17,17,63.2504
17.1,17.1,63.2504
17.2,6,63.2504
17.3,6.1,63.2504
17.4,6.2,63.2504
17.5,6.3,63.2504
17.6,6.4,63.2504
17.7,6.5,63.2504
17.8,6.6,63.2504
17.9,6.7,63.2504
18,6.8,63.2504
18.1,6.9,63.2504
18.2,7,63.2504
18.3,7.1,63.2504
18.4,7.2,63.2504
18.5,7.3,63.2504
18.6,7.4,63.2504
18.7,7.5,63.2504
18.8,7.6,63.2504
18.9,7.7,63.2504
19,7.8,63.2504
19.1,7.9,63.2504
19.2,8,63.2504
19.3,8.1,63.2504
19.4,8.2,63.2504
19.5,8.3,63.2504
19.6,8.4,63.2504
19.7,8.5,63.2504
19.8,8.6,63.2504
19.9,8.7,63.2504
20,8.8,63.2504
20.1,8.9,63.2504
20.2,9,63.2504
20.3,9.1,63.2504
20.4,9.2,63.2504
20.5,9.3,63.2504
20.6,9.4,63.2504
20.7,9.5,63.2504
20.8,9.6,63.2504
20.9,9.7,63.2504
21,9.8,63.2504
21.1,9.9,63.2504
21.2,10,63.2504
21.3,10.1,63.2504
21.4,10.2,63.2504
21.5,10.3,63.2504
21.6,10.4,63.2504
21.7,10.5,63.2504
21.8,10.6,63.2504
21.9,10.7,63.2504
22,10.8,63.2504
22.1,10.9,63.2504
22.2,11,63.2504
22.3,11.1,63.2504
22.4,11.2,63.2504
22.5,11.3,63.2504
22.6,11.4,63.2504
22.7,11.5,63.2504
22.8,11.6,63.2504
22.9,11.7,63.2504
23,11.8,63.2504
23.1,11.9,63.2504
23.2,12,63.2504
23.3,12.1,63.2504
23.4,12.2,63.2504
23.5,12.3,63.2504
23.6,12.4,63.2504
23.7,12.5,63.2504
23.8,12.6,63.2504
23.9,12.7,63.2504
24,12.8,63.2504
24.1,12.9,63.2504
24.2,13,63.2504
24.3,13.1,63.2504
24.4,13.2,63.2504
24.5,13.3,63.2504
24.6,13.4,63.2504
24.7,13.5,63.2504
24.8,13.6,63.2504
24.9,13.7,63.2504
25,13.8,63.2504
25.1,13.9,63.2504
25.2,14,63.2504
25.3,14.1,63.2504
25.4,14.2,63.2504
25.5,14.3,63.2504
25.6,14.4,63.2504
25.7,14.5,63.2504
25.8,14.6,63.2504
25.9,14.7,63.2504
26,14.8,63.2504
26.1,14.9,63.2504
26.2,15,63.2504
