b,source1,source2
0.25,140.051,64.3426
0.255051,139.408,63.1119
0.260101,128.717,67.9671
0.265152,133.061,72.5411
0.270202,130.553,66.5197
0.275253,125.227,73.1995
0.280303,122.365,82.3927
0.285354,118.78,66.9363
0.290404,119.836,75.7675
0.295455,118.347,70.42
0.300505,113.327,70.2704
0.305556,115.692,73.0748
0.310606,117.489,71.4828
0.315657,112.24,72.1847
0.320707,106.302,67.2782
0.325758,104.1,75.0924
0.330808,104.136,70.7438
0.335859,104.364,75.6955
0.340909,112.756,75.2793
0.34596,100.309,66.224
0.35101,102.205,72.9704
0.356061,103.713,73.3929
0.361111,100.05,71.8463
0.366162,97.8488,79.0517
0.371212,96.7629,65.9409
0.376263,95.0036,69.3479
0.381313,93.8883,67.5282
0.386364,97.268,73.7849
0.391414,93.5553,79.5092
0.396465,95.2019,72.0446
0.401515,92.3158,72.3728
0.406566,98.5607,67.3683
0.411616,91.1828,70.1973
0.416667,94.8322,88.3371
0.421717,91.6173,74.234
0.426768,90.9103,80.2912
0.431818,87.0655,78.3714
0.436869,89.5301,74.116
0.441919,92.0329,82.1112
0.44697,88.7323,79.6155
0.45202,90.6229,79.4759
0.457071,90.6351,75.5642
0.462121,91.0918,82.3453
0.467172,87.4932,85.152
0.472222,89.1977,77.6773
0.477273,89.4553,81.8228
0.482323,90.6815,86.7244
0.487374,86.6375,81.7644
0.492424,91.1651,81.3777
0.497475,90.1214,84.3672
0.502525,92.5759,80.7657
0.507576,83.1052,77.6846
0.512626,85.0943,75.4748
0.517677,80.8538,81.0678
0.522727,84.5478,87.0055
0.527778,84.71,80.0854
0.532828,86.3882,87.359
0.537879,87.4235,86.3651
0.542929,86.5324,85.0839
0.54798,82.9371,83.8364
0.55303,81.744,92.4874
0.558081,84.0024,89.6079
0.563131,82.5032,88.9946
0.568182,85.5455,89.3886
0.573232,83.7353,93.7186
0.578283,84.3112,91.1621
0.583333,80.8086,90.4178
0.588384,85.3127,92.1641
0.593434,91.0331,94.1417
0.598485,77.9327,107.986
0.603535,79.5505,99.577
0.608586,80.7009,100.987
0.613636,77.011,102.125
0.618687,76.9974,99.4038
0.623737,82.4508,105.463
0.628788,78.8386,101.167
0.633838,81.1071,112.892
0.638889,79.811,109.967
0.643939,80.7347,114.376
0.64899,78.5256,117.866
0.65404,80.2219,118.194
0.659091,77.9528,120.981
0.664141,77.2337,125.407
0.669192,79.6361,127.218
0.674242,78.8649,130.547
0.679293,77.6157,136.763
0.684343,78.4288,142.082
0.689394,79.4445,145.25
0.694444,76.3831,147.921
0.699495,77.3066,158.041
0.704545,77.853,152.259
0.709596,81.4611,169.239
0.714646,79.0151,171.267
0.719697,74.2132,175.443
0.724747,76.9511,188.684
0.729798,80.9363,178.031
0.734848,75.376,190.018
0.739899,76.1791,204.471
0.744949,79.3773,210.122
0.75,78.7071,224.174
